bowler,batting_team,season,Innings,bowler's_wicket,bowler's_runs,valid_ball,overs,economy
Angelo Mathews,Delhi Capitals,2012,1,0,32,12,2.0,16.0
Angelo Mathews,Delhi Capitals,2013,1,3,14,18,3.0,4.67
Angelo Mathews,Kolkata Knight Riders,2012,1,2,17,24,4.0,4.25
Angelo Mathews,Kolkata Knight Riders,2013,2,0,56,42,7.0,8.0
Angelo Mathews,Kolkata Knight Riders,2015,2,0,46,30,5.0,9.2
Angelo Mathews,Kolkata Knight Riders,2017,1,0,15,12,2.0,7.5
Angelo Mathews,Mumbai Indians,2010,1,0,29,21,3.3,8.79
Angelo Mathews,Mumbai Indians,2013,1,0,29,24,4.0,7.25
Angelo Mathews,Mumbai Indians,2015,2,3,48,36,6.0,8.0
Angelo Mathews,Punjab Kings,2010,2,1,58,42,7.0,8.29
Angelo Mathews,Punjab Kings,2012,1,1,20,18,3.0,6.67
Angelo Mathews,Punjab Kings,2013,1,1,12,12,2.0,6.0
Angelo Mathews,Punjab Kings,2015,2,1,42,36,6.0,7.0
Angelo Mathews,Rajasthan Royals,2010,1,0,33,18,3.0,11.0
Angelo Mathews,Rajasthan Royals,2012,2,1,44,42,7.0,6.29
Angelo Mathews,Rajasthan Royals,2013,2,1,61,42,7.0,8.71
Angelo Mathews,Rajasthan Royals,2015,2,2,69,48,8.0,8.62
Angelo Mathews,Royal Challengers Bangalore,2009,1,0,31,14,2.2,14.09
Angelo Mathews,Royal Challengers Bangalore,2010,2,5,44,42,7.0,6.29
Angelo Mathews,Royal Challengers Bangalore,2012,2,2,49,42,7.0,7.0
Angelo Mathews,Royal Challengers Bangalore,2013,1,0,23,12,2.0,11.5
Angelo Mathews,Royal Challengers Bangalore,2015,1,0,3,6,1.0,3.0
Angelo Mathews,Sunrisers Hyderabad,2013,2,0,45,36,6.0,7.5
Angelo Mathews,Sunrisers Hyderabad,2015,1,1,38,24,4.0,9.5
Angelo Mathews,Sunrisers Hyderabad,2017,1,0,41,18,3.0,13.67
Aniket Choudhary,Gujarat Lions,2017,1,0,21,12,2.0,10.5
Aniket Choudhary,Kolkata Knight Riders,2017,1,1,19,17,2.5,7.6
Aniket Choudhary,Mumbai Indians,2017,1,1,32,24,4.0,8.0
Aniket Choudhary,Punjab Kings,2017,1,2,17,24,4.0,4.25
Aniket Choudhary,Sunrisers Hyderabad,2017,1,1,55,24,4.0,13.75
Anil Kumble,Chennai Super Kings,2008,1,3,14,24,4.0,3.5
Anil Kumble,Chennai Super Kings,2009,3,2,68,72,12.0,5.67
Anil Kumble,Chennai Super Kings,2010,2,2,31,48,8.0,3.88
Anil Kumble,Deccan Chargers,2008,2,1,80,48,8.0,10.0
Anil Kumble,Deccan Chargers,2009,3,6,78,72,12.0,6.5
Anil Kumble,Deccan Chargers,2010,3,6,81,69,11.3,7.17
Anil Kumble,Delhi Capitals,2008,1,2,18,24,4.0,4.5
Anil Kumble,Delhi Capitals,2009,2,2,46,48,8.0,5.75
Anil Kumble,Delhi Capitals,2010,2,1,63,48,8.0,7.88
Anil Kumble,Kolkata Knight Riders,2008,1,0,21,18,3.0,7.0
Anil Kumble,Kolkata Knight Riders,2009,2,3,44,48,8.0,5.5
Anil Kumble,Kolkata Knight Riders,2010,2,1,36,48,8.0,4.5
Anil Kumble,Mumbai Indians,2008,1,0,45,24,4.0,11.25
Anil Kumble,Mumbai Indians,2009,2,0,50,36,6.0,8.33
Anil Kumble,Mumbai Indians,2010,3,3,86,72,12.0,7.17
Anil Kumble,Punjab Kings,2008,2,0,72,44,7.2,10.0
Anil Kumble,Punjab Kings,2009,2,3,44,48,8.0,5.5
Anil Kumble,Punjab Kings,2010,2,1,73,48,8.0,9.12
Anil Kumble,Rajasthan Royals,2008,2,1,54,48,8.0,6.75
Anil Kumble,Rajasthan Royals,2009,2,5,17,31,5.1,3.33
Anil Kumble,Rajasthan Royals,2010,2,3,37,47,7.5,4.93
Ankeet Chavan,Delhi Capitals,2012,2,2,60,48,8.0,7.5
Ankeet Chavan,Kochi Tuskers Kerala,2011,1,0,10,6,1.0,10.0
Ankeet Chavan,Kolkata Knight Riders,2012,2,2,55,44,7.2,7.64
Ankeet Chavan,Kolkata Knight Riders,2013,1,1,28,18,3.0,9.33
Ankeet Chavan,Mumbai Indians,2011,1,0,17,24,4.0,4.25
Ankeet Chavan,Mumbai Indians,2012,1,1,41,24,4.0,10.25
Ankeet Chavan,Mumbai Indians,2013,2,0,35,36,6.0,5.83
Ankeet Chavan,Pune Warriors India,2012,1,0,20,12,2.0,10.0
Ankeet Chavan,Punjab Kings,2012,2,2,60,36,6.0,10.0
Ankit Rajpoot,Chennai Super Kings,2018,1,2,19,24,4.0,4.75
Ankit Rajpoot,Chennai Super Kings,2020,1,0,8,6,1.0,8.0
Ankit Rajpoot,Delhi Capitals,2018,1,2,23,24,4.0,5.75
Ankit Rajpoot,Gujarat Lions,2016,1,1,35,18,3.0,11.67
Ankit Rajpoot,Kolkata Knight Riders,2018,1,0,32,18,3.0,10.67
Ankit Rajpoot,Kolkata Knight Riders,2020,1,1,39,24,4.0,9.75
Ankit Rajpoot,Mumbai Indians,2013,1,1,25,18,3.0,8.33
